Получение названий всех продуктов и соответствующих им торговых марок:
[product_name, brand_name]
("Electra Glam Punk 3i Ladies' - 2017", 'Electra')
('Sun Bicycles Biscayne Tandem CB - 2017', 'Sun Bicycles')
('Sun Bicycles Boardwalk (24-inch Wheels) - 2017', 'Sun Bicycles')
('Sun Bicycles Brickell Tandem CB - 2017', 'Sun Bicycles')
("Electra Amsterdam Fashion 7i Ladies' - 2017", 'Electra')
("Electra Amsterdam Original 3i Ladies' - 2017", 'Electra')
("Trek Boy's Kickster - 2015/2017", 'Trek')
("Sun Bicycles Lil Kitt'n - 2017", 'Sun Bicycles')
('Haro Downtown 16 - 2017', 'Haro')
("Trek Girl's Kickster - 2017", 'Trek')
('Trek Precaliber 12 Boys - 2017', 'Trek')
('Trek Precaliber 12 Girls - 2017', 'Trek')
('Trek Precaliber 16 Boys - 2017', 'Trek')
('Trek Precaliber 16 Girls - 2017', 'Trek')
('Trek Precaliber 24 (21-Speed) - Girls - 2017', 'Trek')
('Haro Shredder 20 - 2017', 'Haro')
('Haro Shredder 20 Girls - 2017', 'Haro')
('Haro Shredder Pro 20 - 2017', 'Haro')
("Electra Girl's Hawaii 1 16 - 2017", 'Electra')
("Electra Moto 3i (20-inch) - Boy's - 2017", 'Electra')
("Electra Savannah 3i (20-inch) - Girl's - 2017", 'Electra')
("Electra Straight 8 3i (20-inch) - Boy's - 2017", 'Electra')
("Electra Sugar Skulls 1 (20-inch) - Girl's - 2017", 'Electra')
("Electra Townie 3i EQ (20-inch) - Boys' - 2017", 'Electra')
("Electra Townie 7D (20-inch) - Boys' - 2017", 'Electra')
('Electra Townie Original 7D - 2017', 'Electra')
('Sun Bicycles Streamway 3 - 2017', 'Sun Bicycles')
('Sun Bicycles Streamway - 2017', 'Sun Bicycles')
('Sun Bicycles Streamway 7 - 2017', 'Sun Bicycles')
('Sun Bicycles Cruz 3 - 2017', 'Sun Bicycles')
('Sun Bicycles Cruz 7 - 2017', 'Sun Bicycles')
("Sun Bicycles Cruz 3 - Women's - 2017", 'Sun Bicycles')
("Sun Bicycles Cruz 7 - Women's - 2017", 'Sun Bicycles')
('Sun Bicycles Drifter 7 - 2017', 'Sun Bicycles')
("Sun Bicycles Drifter 7 - Women's - 2017", 'Sun Bicycles')
('Trek 820 - 2018', 'Trek')
('Trek Marlin 5 - 2018', 'Trek')
('Trek Marlin 6 - 2018', 'Trek')
('Trek Fuel EX 8 29 - 2018', 'Trek')
('Trek Marlin 7 - 2017/2018', 'Trek')
('Trek Ticket S Frame - 2018', 'Trek')
('Trek X-Caliber 8 - 2018', 'Trek')
("Trek Kids' Neko - 2018", 'Trek')
('Trek Fuel EX 7 29 - 2018', 'Trek')
('Surly Krampus Frameset - 2018', 'Surly')
('Surly Troll Frameset - 2018', 'Surly')
('Trek Farley Carbon Frameset - 2018', 'Trek')
('Surly Krampus - 2018', 'Surly')
("Trek Kids' Dual Sport - 2018", 'Trek')
('Surly Big Fat Dummy Frameset - 2018', 'Surly')
('Surly Pack Rat Frameset - 2018', 'Surly')
('Surly ECR 27.5 - 2018', 'Surly')
('Trek X-Caliber 7 - 2018', 'Trek')
('Trek Stache Carbon Frameset - 2018', 'Trek')
('Heller Bloodhound Trail - 2018', 'Heller')
('Trek Procal AL Frameset - 2018', 'Trek')
('Trek Procaliber Frameset - 2018', 'Trek')
('Trek Remedy 27.5 C Frameset - 2018', 'Trek')
('Trek X-Caliber Frameset - 2018', 'Trek')
('Trek Procaliber 6 - 2018', 'Trek')
('Heller Shagamaw GX1 - 2018', 'Heller')
('Trek Fuel EX 5 Plus - 2018', 'Trek')
('Trek Remedy 7 27.5 - 2018', 'Trek')
('Trek Remedy 9.8 27.5 - 2018', 'Trek')
('Trek Stache 5 - 2018', 'Trek')
('Trek Fuel EX 8 29 XT - 2018', 'Trek')
('Trek Domane ALR 3 - 2018', 'Trek')
('Trek Domane ALR 4 Disc - 2018', 'Trek')
('Trek Domane ALR 5 Disc - 2018', 'Trek')
('Trek Domane SLR 6 - 2018', 'Trek')
('Trek Domane ALR 5 Gravel - 2018', 'Trek')
('Trek Domane SL 8 Disc - 2018', 'Trek')
('Trek Domane SLR 8 Disc - 2018', 'Trek')
('Trek Emonda SL 7 - 2018', 'Trek')
("Trek Domane ALR 4 Disc Women's - 2018", 'Trek')
("Trek Domane SL 5 Disc Women's - 2018", 'Trek')
("Trek Domane SL 7 Women's - 2018", 'Trek')
("Trek Domane SLR 6 Disc Women's - 2018", 'Trek')
('Trek Domane SLR 9 Disc - 2018', 'Trek')
('Trek Domane SL Frameset - 2018', 'Trek')
("Trek Domane SL Frameset Women's - 2018", 'Trek')
('Trek CrossRip 1 - 2018', 'Trek')
('Trek Emonda ALR 6 - 2018', 'Trek')
('Trek Emonda SLR 6 - 2018', 'Trek')
('Surly ECR - 2018', 'Surly')
('Trek Emonda SL 6 Disc - 2018', 'Trek')
('Surly Pack Rat - 2018', 'Surly')
('Surly Straggler 650b - 2018', 'Surly')
('Trek 1120 - 2018', 'Trek')
("Trek Domane AL 2 Women's - 2018", 'Trek')
('Surly ECR Frameset - 2018', 'Surly')
('Surly Straggler - 2018', 'Surly')
('Trek Emonda SLR 8 - 2018', 'Trek')
('Trek CrossRip 2 - 2018', 'Trek')
('Trek Domane SL 6 - 2018', 'Trek')
('Trek Domane ALR Disc Frameset - 2018', 'Trek')
('Trek Domane ALR Frameset - 2018', 'Trek')
('Trek Domane SLR Disc Frameset - 2018', 'Trek')
('Trek Domane SLR Frameset - 2018', 'Trek')
('Trek Madone 9 Frameset - 2018', 'Trek')
('Trek Domane SLR 6 Disc - 2018', 'Trek')
('Trek Domane AL 2 - 2018', 'Trek')
('Trek Domane AL 3 - 2018', 'Trek')
("Trek Domane AL 3 Women's - 2018", 'Trek')
('Trek Domane SL 5 - 2018', 'Trek')
('Trek Domane SL 5 Disc - 2018', 'Trek')
("Trek Domane SL 5 Women's - 2018", 'Trek')
('Trek Domane SL 6 Disc - 2018', 'Trek')
('Trek Conduit+ - 2018', 'Trek')
('Trek CrossRip+ - 2018', 'Trek')
('Trek Neko+ - 2018', 'Trek')
('Trek XM700+ Lowstep - 2018', 'Trek')
('Trek Lift+ Lowstep - 2018', 'Trek')
('Trek Dual Sport+ - 2018', 'Trek')
('Electra Loft Go! 8i - 2018', 'Electra')
('Electra Townie Go! 8i - 2017/2018', 'Electra')
('Trek Lift+ - 2018', 'Trek')
('Trek XM700+ - 2018', 'Trek')
("Electra Townie Go! 8i Ladies' - 2018", 'Electra')
('Trek Verve+ - 2018', 'Trek')
('Trek Verve+ Lowstep - 2018', 'Trek')
('Electra Townie Commute Go! - 2018', 'Electra')
("Electra Townie Commute Go! Ladies' - 2018", 'Electra')
('Trek Powerfly 5 - 2018', 'Trek')
('Trek Powerfly 5 FS - 2018', 'Trek')
("Trek Powerfly 5 Women's - 2018", 'Trek')
('Trek Powerfly 7 FS - 2018', 'Trek')
('Trek Super Commuter+ 7 - 2018', 'Trek')
('Trek Super Commuter+ 8S - 2018', 'Trek')
('Trek Boone 5 Disc - 2018', 'Trek')
('Trek Boone 7 Disc - 2018', 'Trek')
('Trek Crockett 5 Disc - 2018', 'Trek')
('Trek Crockett 7 Disc - 2018', 'Trek')
('Surly Straggler - 2018', 'Surly')
('Surly Straggler 650b - 2018', 'Surly')
('Electra Townie Original 21D - 2018', 'Electra')
('Electra Cruiser 1 - 2016/2017/2018', 'Electra')
('Electra Tiger Shark 3i - 2018', 'Electra')
('Electra Queen of Hearts 3i - 2018', 'Electra')
('Electra Super Moto 8i - 2018', 'Electra')
('Electra Straight 8 3i - 2018', 'Electra')
('Electra Cruiser 7D - 2016/2017/2018', 'Electra')
('Electra Moto 3i - 2018', 'Electra')
("Electra Cruiser 1 Ladies' - 2018", 'Electra')
("Electra Cruiser 7D Ladies' - 2016/2018", 'Electra')
('Electra Cruiser 1 Tall - 2016/2018', 'Electra')
('Electra Cruiser Lux 3i - 2018', 'Electra')
('Electra Cruiser Lux 7D - 2018', 'Electra')
('Electra Delivery 3i - 2016/2017/2018', 'Electra')
('Electra Townie Original 21D EQ - 2017/2018', 'Electra')
("Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018", 'Electra')
('Electra Cruiser 7D Tall - 2016/2018', 'Electra')
('Electra Cruiser Lux 1 - 2016/2018', 'Electra')
("Electra Cruiser Lux 1 Ladies' - 2018", 'Electra')
("Electra Cruiser Lux 3i Ladies' - 2018", 'Electra')
("Electra Cruiser Lux 7D Ladies' - 2018", 'Electra')
('Electra Cruiser Lux Fat Tire 7D - 2018', 'Electra')
("Electra Daydreamer 3i Ladies' - 2018", 'Electra')
("Electra Koa 3i Ladies' - 2018", 'Electra')
("Electra Morningstar 3i Ladies' - 2018", 'Electra')
('Electra Relic 3i - 2018', 'Electra')
('Electra Townie Balloon 8D EQ - 2016/2017/2018', 'Electra')
("Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018", 'Electra')
('Electra Townie Commute 27D Ladies - 2018', 'Electra')
('Electra Townie Commute 8D - 2018', 'Electra')
("Electra Townie Commute 8D Ladies' - 2018", 'Electra')
("Electra Townie Original 21D EQ Ladies' - 2018", 'Electra')
("Electra Townie Original 21D Ladies' - 2018", 'Electra')
('Electra Townie Original 3i EQ - 2017/2018', 'Electra')
("Electra Townie Original 3i EQ Ladies' - 2018", 'Electra')
('Electra Townie Original 7D EQ - 2018', 'Electra')
("Electra Townie Original 7D EQ Ladies' - 2017/2018", 'Electra')
('Electra White Water 3i - 2018', 'Electra')
('Electra Townie Go! 8i - 2017/2018', 'Electra')
('Electra Townie Commute Go! - 2018', 'Electra')
("Electra Townie Commute Go! Ladies' - 2018", 'Electra')
("Electra Townie Go! 8i Ladies' - 2018", 'Electra')
('Electra Townie Balloon 3i EQ - 2017/2018', 'Electra')
("Electra Townie Balloon 7i EQ Ladies' - 2017/2018", 'Electra')
('Electra Townie Commute 27D - 2018', 'Electra')
("Electra Amsterdam Fashion 3i Ladies' - 2017/2018", 'Electra')
('Electra Amsterdam Royal 8i - 2017/2018', 'Electra')
('Electra Amsterdam Royal 8i Ladies - 2018', 'Electra')
("Electra Townie Balloon 3i EQ Ladies' - 2018", 'Electra')
('Electra Townie Balloon 7i EQ - 2018', 'Electra')
('Trek MT 201 - 2018', 'Trek')
('Strider Classic 12 Balance Bike - 2018', 'Strider')
('Strider Sport 16 - 2018', 'Strider')
('Strider Strider 20 Sport - 2018', 'Strider')
('Trek Superfly 20 - 2018', 'Trek')
("Trek Precaliber 12 Girl's - 2018", 'Trek')
('Trek Kickster - 2018', 'Trek')
("Trek Precaliber 12 Boy's - 2018", 'Trek')
("Trek Precaliber 16 Boy's - 2018", 'Trek')
("Trek Precaliber 16 Girl's - 2018", 'Trek')
("Trek Precaliber 20 6-speed Boy's - 2018", 'Trek')
("Trek Precaliber 20 6-speed Girl's - 2018", 'Trek')
("Trek Precaliber 20 Boy's - 2018", 'Trek')
("Trek Precaliber 20 Girl's - 2018", 'Trek')
('Trek Precaliber 24 (7-Speed) - Boys - 2018', 'Trek')
("Trek Precaliber 24 21-speed Boy's - 2018", 'Trek')
("Trek Precaliber 24 21-speed Girl's - 2018", 'Trek')
("Trek Precaliber 24 7-speed Girl's - 2018", 'Trek')
('Trek Superfly 24 - 2017/2018', 'Trek')
("Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018", 'Electra')
("Electra Cyclosaurus 1 (16-inch) - Boy's - 2018", 'Electra')
("Electra Heartchya 1 (20-inch) - Girl's - 2018", 'Electra')
("Electra Savannah 1 (20-inch) - Girl's - 2018", 'Electra')
("Electra Soft Serve 1 (16-inch) - Girl's - 2018", 'Electra')
('Electra Starship 1 16 - 2018', 'Electra')
("Electra Straight 8 1 (16-inch) - Boy's - 2018", 'Electra')
("Electra Straight 8 1 (20-inch) - Boy's - 2018", 'Electra')
('Electra Superbolt 1 20 - 2018', 'Electra')
('Electra Superbolt 3i 20 - 2018', 'Electra')
("Electra Sweet Ride 1 (20-inch) - Girl's - 2018", 'Electra')
("Electra Sweet Ride 3i (20-inch) - Girls' - 2018", 'Electra')
("Electra Tiger Shark 1 (20-inch) - Boys' - 2018", 'Electra')
("Electra Tiger Shark 3i (20-inch) - Boys' - 2018", 'Electra')
('Electra Treasure 1 20 - 2018', 'Electra')
('Electra Treasure 3i 20 - 2018', 'Electra')
('Electra Under-The-Sea 1 16 - 2018', 'Electra')
("Electra Water Lily 1 (16-inch) - Girl's - 2018", 'Electra')
('Electra Townie Original 21D - 2018', 'Electra')
("Electra Townie Balloon 3i EQ Ladies' - 2018", 'Electra')
('Electra Townie Balloon 7i EQ - 2018', 'Electra')
('Electra Townie Original 1 - 2018', 'Electra')
('Electra Townie Go! 8i - 2017/2018', 'Electra')
('Electra Townie Original 21D EQ - 2017/2018', 'Electra')
('Electra Townie Balloon 3i EQ - 2017/2018', 'Electra')
("Electra Townie Balloon 7i EQ Ladies' - 2017/2018", 'Electra')
('Electra Townie Balloon 8D EQ - 2016/2017/2018', 'Electra')
("Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018", 'Electra')
('Electra Townie Commute 27D - 2018', 'Electra')
('Electra Townie Commute 27D Ladies - 2018', 'Electra')
('Electra Townie Commute 8D - 2018', 'Electra')
("Electra Townie Commute 8D Ladies' - 2018", 'Electra')
("Electra Townie Original 1 Ladies' - 2018", 'Electra')
("Electra Townie Original 21D EQ Ladies' - 2018", 'Electra')
("Electra Townie Original 21D Ladies' - 2018", 'Electra')
("Trek Checkpoint ALR 4 Women's - 2019", 'Trek')
('Trek Checkpoint ALR 5 - 2019', 'Trek')
("Trek Checkpoint ALR 5 Women's - 2019", 'Trek')
("Trek Checkpoint SL 5 Women's - 2019", 'Trek')
('Trek Checkpoint SL 6 - 2019', 'Trek')
('Trek Checkpoint ALR Frameset - 2019', 'Trek')
 
 
Нахождение всех активных сотрудников и наименований магазинов, в которых они работают:
[last_name, first_name, store_name]
('Wiggins', 'Virgie', 'Santa Cruz Bikes')
('Serrano', 'Genna', 'Santa Cruz Bikes')
('Copeland', 'Mireya', 'Santa Cruz Bikes')
('Jackson', 'Fabiola', 'Santa Cruz Bikes')
('Daniel', 'Venita', 'Baldwin Bikes')
('Boyer', 'Marcelene', 'Baldwin Bikes')
('David', 'Jannette', 'Baldwin Bikes')
('Terrell', 'Layla', 'Rowlett Bikes')
('Houston', 'Bernardine', 'Rowlett Bikes')
('Vargas', 'Kali', 'Rowlett Bikes')
 
 
Перечисление всех покупателей выбранного магазина с указанием их полных имен, адреса электронной почты и номера телефона:
[last_name, first_name, email, phone, store_name]
('Acevedo', 'Ester', 'ester.acevedo@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Albert', 'Jamaal', 'jamaal.albert@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Anderson', 'Sindy', 'sindy.anderson@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Arnold', 'Twana', 'twana.arnold@msn.com', '(657) 988-1904', 'Santa Cruz Bikes')
('Austin', 'Selene', 'selene.austin@msn.com', 'NULL', 'Santa Cruz Bikes')
('Ayala', 'Sherie', 'sherie.ayala@msn.com', 'NULL', 'Santa Cruz Bikes')
('Ayers', 'Kandace', 'kandace.ayers@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Bailey', 'Delma', 'delma.bailey@gmail.com', '(657) 454-8493', 'Santa Cruz Bikes')
('Baker', 'Jennette', 'jennette.baker@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Ball', 'Vernita', 'vernita.ball@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Ballard', 'Basil', 'basil.ballard@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Barber', 'Joann', 'joann.barber@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Barron', 'Morton', 'morton.barron@msn.com', '(661) 386-4884', 'Santa Cruz Bikes')
('Bates', 'Katharina', 'katharina.bates@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Beck', 'Nelle', 'nelle.beck@aol.com', 'NULL', 'Santa Cruz Bikes')
('Bennett', 'Beryl', 'beryl.bennett@aol.com', '(916) 422-6956', 'Santa Cruz Bikes')
('Berg', 'Monika', 'monika.berg@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Berger', 'Marguerite', 'marguerite.berger@aol.com', 'NULL', 'Santa Cruz Bikes')
('Bernard', 'Jone', 'jone.bernard@hotmail.com', '(657) 536-5165', 'Santa Cruz Bikes')
('Best', 'Penni', 'penni.best@msn.com', '(657) 611-2991', 'Santa Cruz Bikes')
('Blanchard', 'Kaley', 'kaley.blanchard@msn.com', 'NULL', 'Santa Cruz Bikes')
('Bond', 'Kiesha', 'kiesha.bond@aol.com', 'NULL', 'Santa Cruz Bikes')
('Bonner', 'Lenita', 'lenita.bonner@aol.com', 'NULL', 'Santa Cruz Bikes')
('Booker', 'Jeni', 'jeni.booker@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Branch', 'Desiree', 'desiree.branch@msn.com', 'NULL', 'Santa Cruz Bikes')
('Bray', 'Jessika', 'jessika.bray@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Brooks', 'Mercedez', 'mercedez.brooks@hotmail.com', 'NULL', 'Santa Cruz Bikes')
('Bryan', 'Philip', 'philip.bryan@hotmail.com', '(510) 533-4262', 'Santa Cruz Bikes')
('Burch', 'Jeromy', 'jeromy.burch@msn.com', '(408) 955-8238', 'Santa Cruz Bikes')
('Burgess', 'Myesha', 'myesha.burgess@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Burke', 'Deloris', 'deloris.burke@hotmail.com', 'NULL', 'Santa Cruz Bikes')
('Burt', 'Charise', 'charise.burt@aol.com', '(559) 888-2229', 'Santa Cruz Bikes')
('Burton', 'Lanita', 'lanita.burton@msn.com', 'NULL', 'Santa Cruz Bikes')
('Butler', 'Ronna', 'ronna.butler@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Calderon', 'Shiela', 'shiela.calderon@msn.com', 'NULL', 'Santa Cruz Bikes')
('Cantrell', 'Donovan', 'donovan.cantrell@msn.com', '(510) 624-3824', 'Santa Cruz Bikes')
('Casey', 'Domingo', 'domingo.casey@msn.com', '(408) 761-9212', 'Santa Cruz Bikes')
('Castro', 'Angele', 'angele.castro@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Chan', 'Sylvester', 'sylvester.chan@hotmail.com', 'NULL', 'Santa Cruz Bikes')
('Chase', 'Randolph', 'randolph.chase@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Church', 'Jeffry', 'jeffry.church@msn.com', 'NULL', 'Santa Cruz Bikes')
('Clayton', 'Margaretta', 'margaretta.clayton@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Clements', 'Ellena', 'ellena.clements@aol.com', 'NULL', 'Santa Cruz Bikes')
('Clemons', 'Virgen', 'virgen.clemons@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Cobb', 'Diana', 'diana.cobb@hotmail.com', 'NULL', 'Santa Cruz Bikes')
('Cochran', 'Pearlie', 'pearlie.cochran@msn.com', 'NULL', 'Santa Cruz Bikes')
('Coffey', 'Rosalie', 'rosalie.coffey@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Cole', 'Sheri', 'sheri.cole@aol.com', '(408) 658-2285', 'Santa Cruz Bikes')
('Collier', 'Carline', 'carline.collier@msn.com', '(559) 810-6070', 'Santa Cruz Bikes')
('Compton', 'Caridad', 'caridad.compton@aol.com', 'NULL', 'Santa Cruz Bikes')
('Conley', 'Allie', 'allie.conley@msn.com', 'NULL', 'Santa Cruz Bikes')
('Cooley', 'Ardelia', 'ardelia.cooley@aol.com', 'NULL', 'Santa Cruz Bikes')
('Cooper', 'Rory', 'rory.cooper@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Cotton', 'Hope', 'hope.cotton@aol.com', 'NULL', 'Santa Cruz Bikes')
('Cross', 'Hayden', 'hayden.cross@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Curtis', 'Raven', 'raven.curtis@aol.com', 'NULL', 'Santa Cruz Bikes')
('Dalton', 'Latosha', 'latosha.dalton@yahoo.com', '(661) 529-4501', 'Santa Cruz Bikes')
('Daniels', 'Agatha', 'agatha.daniels@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Davenport', 'Jule', 'jule.davenport@aol.com', 'NULL', 'Santa Cruz Bikes')
('Day', 'Salena', 'salena.day@msn.com', 'NULL', 'Santa Cruz Bikes')
('Delacruz', 'Joesph', 'joesph.delacruz@aol.com', 'NULL', 'Santa Cruz Bikes')
('Deleon', 'Le', 'le.deleon@msn.com', 'NULL', 'Santa Cruz Bikes')
('Delgado', 'Mia', 'mia.delgado@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Dennis', 'Collen', 'collen.dennis@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Dickerson', 'Barbra', 'barbra.dickerson@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Dillard', 'Juliane', 'juliane.dillard@aol.com', 'NULL', 'Santa Cruz Bikes')
('Downs', 'Cira', 'cira.downs@gmail.com', '(510) 788-4456', 'Santa Cruz Bikes')
('Duncan', 'Raeann', 'raeann.duncan@aol.com', '(657) 256-2008', 'Santa Cruz Bikes')
('Dunn', 'Lee', 'lee.dunn@aol.com', '(408) 807-6157', 'Santa Cruz Bikes')
('Ellis', 'Thurman', 'thurman.ellis@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Emerson', 'Carmina', 'carmina.emerson@hotmail.com', 'NULL', 'Santa Cruz Bikes')
('England', 'Caleb', 'caleb.england@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Estes', 'Lucas', 'lucas.estes@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Farley', 'Oralia', 'oralia.farley@hotmail.com', 'NULL', 'Santa Cruz Bikes')
('Fischer', 'Tammera', 'tammera.fischer@hotmail.com', '(510) 534-8845', 'Santa Cruz Bikes')
('Fisher', 'Tameka', 'tameka.fisher@aol.com', 'NULL', 'Santa Cruz Bikes')
('Flynn', 'Sharla', 'sharla.flynn@hotmail.com', '(805) 478-7724', 'Santa Cruz Bikes')
('Ford', 'Zora', 'zora.ford@gmail.com', '(916) 192-3196', 'Santa Cruz Bikes')
('Franco', 'Aide', 'aide.franco@msn.com', 'NULL', 'Santa Cruz Bikes')
('Franklin', 'Cindie', 'cindie.franklin@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Franks', 'Lonna', 'lonna.franks@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Fry', 'Elouise', 'elouise.fry@aol.com', 'NULL', 'Santa Cruz Bikes')
('Gallagher', 'Risa', 'risa.gallagher@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Gardner', 'Willow', 'willow.gardner@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Garner', 'Saturnina', 'saturnina.garner@gmail.com', 'NULL', 'Santa Cruz Bikes')
('Garrison', 'Joeann', 'joeann.garrison@yahoo.com', 'NULL', 'Santa Cruz Bikes')
('Gates', 'Elvina', 'elvina.gates@hotmail.com', 'NULL', 'Santa Cruz Bikes')
('Gilliam', 'Drucilla', 'drucilla.gilliam@hotmail.com', 'NULL', 'Santa Cruz Bikes')
('Glover', 'Majorie', 'majorie.glover@msn.com', 'NULL', 'Santa Cruz Bikes')
('Goff', 'Chi', 'chi.goff@aol.com', 'NULL', 'Santa Cruz Bikes')
